,units,n_back,n_dense,dropout,vloss,test_mae_pers,test_mae_pred,test_skill
0,336,120,24,0.0,0.05671900138258934,0.04557496955470568,0.039178238072229275,0.14035624258175572
1,48,288,36,0.0,0.06850428134202957,0.04557496955470568,0.04212393029377367,0.07572225049518844
2,120,96,24,0.1,0.05471997708082199,0.04557496955470568,0.03969020892029113,0.1291226454326163
3,24,432,36,0.0,0.05741984397172928,0.04557496955470568,0.037885631842312244,0.1687184388168066
4,120,72,24,0.0,0.05516139045357704,0.04557496955470568,0.04083871182511265,0.10392234544244472
