,units,n_back,n_dense,dropout,vloss,test_mae_pers,test_mae_pred,test_skill,frac_0_mae_pers
43,96,336,36,0.1,0.076161422,0.04557497,0.046634562,-0.023249431,0
77,72,336,36,0.1,0.074248634,0.04557497,0.046801646,-0.02691558,0
127,144,240,24,0.1,0.0658677,0.04557497,0.046889979,-0.028853755,0
136,24,240,24,0.1,0.066690691,0.04557497,0.047090057,-0.033243847,0
90,336,240,24,0,0.080914892,0.04557497,0.047107602,-0.033628812,0
2,288,480,24,0,0.071448706,0.04557497,0.047111058,-0.033704659,0
123,240,192,36,0.1,0.080754623,0.04557497,0.047129868,-0.034117378,0
65,192,48,36,0,0.077392064,0.04557497,0.047177671,-0.035166264,0
73,48,24,24,0.1,0.07569205,0.04557497,0.047221804,-0.036134626,0
125,240,432,24,0,0.077459089,0.04557497,0.047255297,-0.036869527,0
143,240,240,24,0,0.075919807,0.04557497,0.047270079,-0.037193865,0
25,192,240,36,0.1,0.076547571,0.04557497,0.047307518,-0.038015342,0
144,480,288,24,0.1,0.082395136,0.04557497,0.047365512,-0.03928784,0
109,48,96,24,0,0.078644425,0.04557497,0.047369284,-0.039370622,0
113,336,336,24,0,0.079801567,0.04557497,0.04737149,-0.039419017,0
23,48,432,24,0.1,0.08339148,0.04557497,0.047428497,-0.040669852,0
42,24,288,24,0,0.066250309,0.04557497,0.047624682,-0.044974528,0
10,432,240,24,0.1,0.067658089,0.04557497,0.047632013,-0.045135384,0
35,144,192,36,0.1,0.071375415,0.04557497,0.047656585,-0.045674541,0
66,432,24,24,0,0.083206974,0.04557497,0.047760188,-0.04794778,0
46,192,120,24,0,0.067308314,0.04557497,0.047907129,-0.051171927,0
137,192,288,24,0.1,0.077089109,0.04557497,0.048306237,-0.059929105,0
105,288,336,36,0,0.072482049,0.04557497,0.048337786,-0.060621352,0
99,480,336,36,0.1,0.071561076,0.04557497,0.048405583,-0.062108942,0
0,432,24,36,0.1,0.083633676,0.04557497,0.048622308,-0.066864295,0
