,timestamp_forecast_update,predicted_activepower_ev_1,persist,power
2019-12-13 20:15:00,,0.2708715,0.0424183187348958,0.506191273526239
2019-12-13 20:30:00,,0.21369937,0.0424183187348958,0.506036981581126
2019-12-13 20:45:00,,0.16516033,0.0424183187348958,0.473624410699552
2019-12-13 21:00:00,,0.12406367,0.0424183187348958,0.0715848228236707
2019-12-13 21:15:00,,0.089355886,0.0424183187348958,0.0101024785969054
2019-12-13 21:30:00,,0.060116827,0.0424183187348958,0.0
2019-12-13 21:45:00,,0.035546675,0.0424183187348958,0.0
2019-12-13 22:00:00,,0.014963513,0.0424183187348958,0.0
2019-12-13 22:15:00,,0.0,0.0424183187348958,0.853192831694686
2019-12-13 22:30:00,,0.0,0.0424183187348958,0.978005328427014
2019-12-13 22:45:00,,0.0,0.0424183187348958,0.977658338889386
2019-12-13 23:00:00,,0.0,0.0424183187348958,0.9779691851752
2019-12-13 23:15:00,,0.0,0.0424183187348958,0.977745125719107
2019-12-13 23:30:00,,0.0,0.0,0.977885886704821
2019-12-13 23:45:00,,0.0,0.0,0.931097857248893
