,Etot,Tamb,TambForecast,EtotPeakHour
2017-09-19,0.649,30.9,29.26,7
2017-09-20,0.353,26.59,30.9,20
2017-09-21,0.404,34.2,26.59,11
2017-09-22,0.328,22.19,34.2,6
2017-09-23,1.529,12.98,22.19,20
2017-09-24,1.786,9.42,12.98,19
2017-09-25,1.6509999999999996,11.33,9.42,20
2017-09-26,2.215,15.65,11.33,15
2017-09-27,1.912,11.57,15.65,17
2017-09-28,2.128,15.6,11.57,9
2017-09-29,1.6029999999999998,17.49,15.6,8
2017-09-30,0.28,22.74,17.49,23
2017-10-01,0.993,21.88,22.74,2
2017-10-02,1.6310000000000002,7.66,21.88,19
2017-10-03,0.394,14.79,7.66,21
2017-10-04,0.3139999999999999,21.51,14.79,9
2017-10-05,0.271,19.94,21.51,6
2017-10-06,0.608,18.96,19.94,7
2017-10-07,1.104,27.89,18.96,21
2017-10-08,1.909,19.34,27.89,20
2017-10-09,1.6609999999999998,4.11,19.34,18
2017-10-10,1.6249999999999996,18.26,4.11,20
2017-10-11,1.591,22.24,18.26,0
2017-10-12,1.5699999999999998,26.19,22.24,21
2017-10-13,0.338,19.59,26.19,6
2017-10-14,1.68,15.71,19.59,23
2017-10-15,1.598,19.32,15.71,18
2017-10-16,1.626,26.8,19.32,20
2017-10-17,0.533,27.74,26.8,20
2017-10-18,0.346,27.46,27.74,6
2017-10-19,1.717,23.83,27.46,20
2017-10-20,1.628,25.68,23.83,0
2017-10-21,1.979,12.86,25.68,22
2017-10-22,1.6709999999999998,20.64,12.86,19
2017-10-23,1.7709999999999997,16.69,20.64,15
2017-10-24,1.4220000000000002,18.54,16.69,20
2017-10-25,1.137,29.91,18.54,21
2017-10-26,1.715,16.32,29.91,21
2017-10-27,1.667,5.997,16.32,1
2017-10-28,1.795,16.97,5.997,15
2017-10-29,1.6389999999999998,23.22,16.97,19
2017-10-30,1.5869999999999995,3.958,23.22,20
2017-10-31,1.665,11.71,3.958,0
2017-11-01,1.1880000000000002,21.7,11.71,19
2017-11-02,1.611,9.16,21.7,19
2017-11-03,1.6379999999999997,14.97,9.16,19
2017-11-04,0.882,21.16,14.97,20
2017-11-05,1.961,11.37,21.16,21
2017-11-06,1.612,4.794,11.37,20
2017-11-07,1.5519999999999998,2.12,4.794,20
2017-11-08,1.602,15.14,2.12,22
2017-11-09,1.6419999999999997,6.707,15.14,2
2017-11-10,1.706,14.25,6.707,12
2017-11-11,1.781,15.42,14.25,11
2017-11-12,1.637,14.4,15.42,20
2017-11-13,1.647,22.25,14.4,22
2017-11-14,1.7240000000000002,19.98,22.25,10
2017-11-15,1.62,11.99,19.98,21
2017-11-16,1.6449999999999998,24.27,11.99,23
2017-11-17,1.656,18.21,24.27,20
2017-11-18,1.623,10.63,18.21,22
2017-11-19,1.635,15.86,10.63,21
2017-11-20,1.788,20.34,15.86,13
2017-11-21,1.6029999999999998,13.04,20.34,5
2017-11-22,2.04,21.1,13.04,17
2017-11-23,1.6699999999999997,21.0,21.1,18
2017-11-24,1.619,20.39,21.0,22
2017-11-25,0.998,16.62,20.39,18
2017-11-26,1.067,24.61,16.62,20
2017-11-27,1.233,24.18,24.61,21
2017-11-28,1.71,10.07,24.18,20
2017-11-29,1.723,18.9,10.07,0
2017-11-30,1.651,13.03,18.9,21
2017-12-01,3.125,16.98,13.03,19
2017-12-02,1.868,18.36,16.98,7
2017-12-03,2.252,18.66,18.36,7
2017-12-04,1.7519999999999998,7.54,18.66,7
2017-12-05,1.7679999999999998,11.11,7.54,6
2017-12-06,3.214,4.244,11.11,7
2017-12-07,1.6209999999999998,2.134,4.244,22
2017-12-08,1.586,14.66,2.134,21
2017-12-09,1.614,16.44,14.66,23
2017-12-10,1.7089999999999996,17.18,16.44,23
2017-12-11,1.648,14.17,17.18,22
2017-12-12,0.872,20.04,14.17,20
2017-12-13,1.709,11.7,20.04,20
2017-12-14,2.891,3.883,11.7,19
2017-12-15,3.005,19.1,3.883,17
2017-12-16,1.819,10.41,19.1,9
2017-12-17,1.963,5.178,10.41,22
2017-12-18,1.848,13.61,5.178,7
2017-12-19,3.18,11.06,13.61,18
2017-12-20,1.595,18.09,11.06,1
2017-12-21,1.629,2.58,18.09,20
2017-12-22,1.834,7.42,2.58,5
2017-12-23,2.84,6.771,7.42,22
2017-12-24,3.752,0.011,6.771,6
2017-12-25,1.887,-3.833,0.011,15
2017-12-26,3.114,-9.72,-3.833,13
2017-12-27,1.743,12.22,-9.72,1
2017-12-28,1.7300000000000002,11.49,12.22,0
2017-12-29,1.827,17.56,11.49,6
2017-12-30,1.7829999999999997,0.421,17.56,22
2017-12-31,1.6909999999999998,-2.476,0.421,22
2018-01-01,1.839,0.488,-2.476,8
2018-01-02,1.7899999999999998,7.07,0.488,7
2018-01-03,1.5359999999999998,11.17,7.07,21
2018-01-04,1.6860000000000002,11.02,11.17,23
2018-01-05,1.816,12.32,11.02,19
2018-01-06,1.884,14.75,12.32,7
2018-01-07,1.7109999999999996,11.81,14.75,20
2018-01-08,2.0,10.0,11.81,14
2018-01-09,1.755,18.59,10.0,0
2018-01-10,1.877,13.08,18.59,6
2018-01-11,1.934,5.929,13.08,7
2018-01-12,1.859,8.84,5.929,20
2018-01-13,2.012,10.66,8.84,8
2018-01-14,2.139,15.26,10.66,8
2018-01-15,3.4610000000000003,0.17,15.26,16
2018-01-16,2.089,4.049,0.17,8
2018-01-17,3.08,11.24,4.049,6
2018-01-18,3.061,18.36,11.24,9
2018-01-19,1.7139999999999995,20.22,18.36,6
2018-01-20,1.691,8.84,20.22,7
2018-01-21,1.775,-1.25,8.84,6
2018-01-22,1.7199999999999998,7.43,-1.25,6
2018-01-23,1.615,6.599,7.43,21
2018-01-24,1.6909999999999998,11.71,6.599,20
2018-01-25,3.241,14.91,11.71,19
2018-01-26,3.152,3.957,14.91,17
2018-01-27,1.75,7.35,3.957,7
2018-01-28,1.909,10.67,7.35,9
2018-01-29,1.588,15.31,10.67,21
2018-01-30,1.6839999999999995,16.11,15.31,6
2018-01-31,1.7019999999999995,8.4,16.11,6
2018-02-01,1.7509999999999997,0.013,8.4,17
2018-02-02,1.7139999999999995,12.55,0.013,6
2018-02-03,1.61,13.61,12.55,1
2018-02-04,1.716,9.31,13.61,7
2018-02-05,1.759,11.81,9.31,6
2018-02-06,1.707,9.16,11.81,18
2018-02-07,1.753,13.26,9.16,6
2018-02-08,1.797,16.57,13.26,7
2018-02-09,1.929,5.416,16.57,23
2018-02-10,1.7979999999999996,-7.53,5.416,0
2018-02-11,1.956,8.34,-7.53,6
2018-02-12,1.7039999999999995,-3.911,8.34,6
2018-02-13,1.693,14.57,-3.911,6
2018-02-14,1.63,19.95,14.57,0
2018-02-15,1.737,9.46,19.95,6
2018-02-16,1.774,6.072,9.46,6
2018-02-17,1.616,16.18,6.072,22
2018-02-18,1.7020000000000002,20.68,16.18,20
2018-02-19,1.737,-4.811,20.68,6
2018-02-20,1.703,-8.88,-4.811,9
2018-02-21,2.254,-2.531,-8.88,13
2018-02-22,1.737,-1.733,-2.531,0
2018-02-23,1.779,0.125,-1.733,15
2018-02-24,1.666,4.78,0.125,6
2018-02-25,1.575,7.58,4.78,21
2018-02-26,1.6229999999999998,13.28,7.58,6
2018-02-27,1.6109999999999998,12.78,13.28,22
2018-02-28,1.504,11.29,12.78,22
2018-03-01,1.7219999999999998,13.25,11.29,6
2018-03-02,1.499,25.01,13.25,2
2018-03-03,1.5719999999999998,21.67,25.01,21
2018-03-04,1.571,20.74,21.67,23
2018-03-05,1.5729999999999995,4.487,20.74,21
2018-03-06,1.606,11.71,4.487,21
2018-03-07,0.963,11.53,11.71,21
2018-03-08,2.375,18.85,11.53,8
2018-03-09,0.8450000000000001,18.63,18.85,22
2018-03-10,1.613,11.73,18.63,20
2018-03-11,1.81,11.57,11.73,6
2018-03-12,2.021,15.14,11.57,6
2018-03-13,1.6,15.72,15.14,19
2018-03-14,1.56,20.11,15.72,12
2018-03-15,1.606,18.47,20.11,21
2018-03-16,1.533,14.38,18.47,1
2018-03-17,1.615,18.98,14.38,19
2018-03-18,1.608,11.62,18.98,20
2018-03-19,1.772,7.53,11.62,5
2018-03-20,1.723,11.5,7.53,17
2018-03-21,1.664,20.22,11.5,20
2018-03-22,1.6149999999999998,21.82,20.22,0
2018-03-23,1.6589999999999998,20.41,21.82,20
2018-03-24,1.5759999999999996,20.17,20.41,20
2018-03-25,1.6909999999999998,17.7,20.17,5
2018-03-26,1.7420000000000002,11.2,17.7,17
2018-03-27,1.718,16.25,11.2,5
2018-03-28,1.6119999999999997,8.62,16.25,20
2018-03-29,1.8,9.95,8.62,12
2018-03-30,1.589,17.13,9.95,20
2018-03-31,1.638,14.97,17.13,6
2018-04-01,1.545,14.2,14.97,0
2018-04-02,1.5709999999999995,23.17,14.2,22
2018-04-03,1.616,15.82,23.17,0
2018-04-04,1.6449999999999998,18.48,15.82,20
2018-04-05,1.5489999999999997,19.07,18.48,20
2018-04-06,1.5699999999999998,8.67,19.07,20
2018-04-07,1.713,14.84,8.67,5
2018-04-08,1.5930000000000002,16.29,14.84,23
2018-04-09,1.5519999999999998,14.8,16.29,0
2018-04-10,1.535,21.7,14.8,2
2018-04-11,0.845,27.72,21.7,19
2018-04-12,1.469,27.89,27.72,22
2018-04-13,1.621,8.16,27.89,21
2018-04-14,1.6629999999999996,14.22,8.16,21
2018-04-15,1.646,17.78,14.22,19
2018-04-16,1.664,21.09,17.78,22
2018-04-17,1.719,21.72,21.09,19
2018-04-18,1.716,15.54,21.72,18
2018-04-19,1.657,20.66,15.54,19
2018-04-20,1.7899999999999998,11.71,20.66,8
2018-04-21,1.7149999999999996,6.405,11.71,20
2018-04-22,1.5299999999999998,19.56,6.405,1
2018-04-23,1.6399999999999997,23.1,19.56,3
2018-04-24,1.645,5.289,23.1,18
2018-04-25,1.539,23.4,5.289,1
2018-04-26,2.003,16.51,23.4,12
2018-04-27,1.604,24.41,16.51,18
2018-04-28,0.286,28.95,24.41,6
2018-04-29,0.262,28.88,28.95,5
2018-04-30,0.273,22.71,28.88,6
2018-05-01,0.305,17.14,22.71,5
2018-05-02,3.0749999999999997,9.24,17.14,19
2018-05-03,2.943,11.8,9.24,2
2018-05-04,1.616,22.79,11.8,9
2018-05-05,0.432,24.45,22.79,10
2018-05-06,0.324,26.83,24.45,7
2018-05-07,0.678,26.21,26.83,11
2018-05-08,0.512,26.16,26.21,6
2018-05-09,0.276,25.73,26.16,5
2018-05-10,0.307,32.98,25.73,5
2018-05-11,0.323,23.65,32.98,6
2018-05-12,0.334,15.59,23.65,5
2018-05-13,0.748,14.9,15.59,20
2018-05-14,0.383,19.68,14.9,6
2018-05-15,0.298,24.68,19.68,5
2018-05-16,0.681,29.09,24.68,7
2018-05-17,0.472,28.65,29.09,6
2018-05-18,0.338,19.94,28.65,6
2018-05-19,1.589,10.8,19.94,21
2018-05-20,1.206,13.51,10.8,19
2018-05-21,0.299,27.74,13.51,5
2018-05-22,0.318,26.93,27.74,5
2018-05-23,0.328,28.76,26.93,6
2018-05-24,0.314,31.82,28.76,5
2018-05-25,0.319,33.4,31.82,5
2018-05-26,0.474,32.04,33.4,19
2018-05-27,0.3,29.4,32.04,6
2018-05-28,0.677,19.68,29.4,10
2018-05-29,0.42,25.12,19.68,7
2018-05-30,0.35,28.77,25.12,6
2018-05-31,0.355,33.02,28.77,5
2018-06-01,0.277,33.38,33.02,6
2018-06-02,0.2629999999999999,28.18,33.38,6
2018-06-03,0.372,23.67,28.18,6
2018-06-04,0.268,33.27,23.67,21
2018-06-05,0.327,34.55,33.27,6
2018-06-06,0.344,30.98,34.55,6
2018-06-07,0.316,32.53,30.98,22
2018-06-08,0.381,32.64,32.53,5
2018-06-09,0.2639999999999999,36.26,32.64,6
2018-06-10,0.252,35.03,36.26,7
2018-06-11,0.243,29.88,35.03,20
2018-06-12,0.2789999999999999,32.17,29.88,6
2018-06-13,0.289,36.75,32.17,4
2018-06-14,0.352,33.37,36.75,6
2018-06-15,0.3389999999999999,33.17,33.37,6
2018-06-16,0.33,29.45,33.17,21
2018-06-17,0.742,21.7,29.45,15
2018-06-18,0.498,25.47,21.7,13
2018-06-19,0.78,24.81,25.47,14
2018-06-20,0.5509999999999999,25.19,24.81,15
2018-06-21,0.222,28.45,25.19,6
2018-06-22,0.311,29.91,28.45,6
2018-06-23,0.485,32.71,29.91,15
2018-06-24,0.6220000000000001,21.68,32.71,13
2018-06-25,0.874,29.28,21.68,15
2018-06-26,0.742,36.37,29.28,12
2018-06-27,0.635,36.96,36.37,12
2018-06-28,0.8089999999999999,38.17,36.96,12
2018-06-29,0.278,34.28,38.17,4
2018-06-30,0.405,21.87,34.28,7
2018-07-01,0.649,32.77,21.87,21
2018-07-02,0.384,34.49,32.77,0
2018-07-03,0.6310000000000001,34.23,34.49,5
2018-07-04,0.338,33.71,34.23,0
2018-07-05,1.057,29.04,33.71,13
2018-07-06,0.89,33.84,29.04,13
2018-07-07,0.812,36.73,33.84,13
2018-07-08,0.364,36.19,36.73,23
2018-07-09,0.374,36.54,36.19,21
2018-07-10,0.491,38.01,36.54,17
2018-07-11,0.382,35.49,38.01,16
2018-07-12,0.476,28.43,35.49,18
2018-07-13,0.5640000000000001,32.62,28.43,11
2018-07-14,0.357,36.12,32.62,6
2018-07-15,0.722,24.36,36.12,13
2018-07-16,0.593,32.11,24.36,5
2018-07-17,0.503,29.7,32.11,21
2018-07-18,0.559,34.76,29.7,3
2018-07-19,0.41,37.49,34.76,5
2018-07-20,0.461,34.48,37.49,7
2018-07-21,0.5660000000000001,27.39,34.48,15
2018-07-22,0.526,33.66,27.39,16
2018-07-23,0.44,24.89,33.66,16
2018-07-24,0.315,30.68,24.89,16
2018-07-25,0.342,26.67,30.68,15
2018-07-26,0.369,28.24,26.67,20
2018-07-27,0.406,27.68,28.24,7
2018-07-28,0.475,25.53,27.68,18
2018-07-29,0.37,27.1,25.53,6
2018-07-30,0.435,26.52,27.1,16
2018-07-31,0.497,31.11,26.52,11
2018-08-01,0.6590000000000001,27.29,31.11,5
2018-08-02,0.398,33.28,27.29,9
2018-08-03,0.418,26.29,33.28,21
2018-08-04,0.474,34.0,26.29,22
2018-08-05,0.5830000000000001,31.03,34.0,8
2018-08-06,0.483,28.85,31.03,6
2018-08-07,0.514,32.14,28.85,7
2018-08-08,0.391,30.75,32.14,15
2018-08-09,0.498,32.19,30.75,10
2018-08-10,0.627,32.21,32.19,14
2018-08-11,0.644,34.42,32.21,11
2018-08-12,1.052,35.18,34.42,1
2018-08-13,0.686,31.9,35.18,12
2018-08-14,0.68,29.12,31.9,13
2018-08-15,0.471,32.34,29.12,7
2018-08-16,0.615,32.48,32.34,15
2018-08-17,1.114,31.74,32.48,8
2018-08-18,0.4629999999999999,27.57,31.74,9
2018-08-19,0.352,22.35,27.57,0
2018-08-20,0.379,26.55,22.35,19
2018-08-21,0.343,18.72,26.55,7
2018-08-22,0.389,28.37,18.72,6
2018-08-23,0.312,31.93,28.37,6
2018-08-24,0.408,33.21,31.93,5
2018-08-25,0.411,32.61,33.21,6
2018-08-26,0.382,32.51,32.61,19
2018-08-27,0.349,36.61,32.51,21
2018-08-28,0.435,23.7,36.61,7
2018-08-29,0.7200000000000001,34.12,23.7,7
2018-08-30,0.449,33.12,34.12,11
2018-08-31,0.372,30.36,33.12,7
2018-09-01,0.316,28.82,30.36,7
2018-09-02,0.438,28.4,28.82,20
2018-09-03,0.526,31.6,28.4,8
2018-09-04,0.502,28.79,31.6,21
2018-09-05,0.805,21.52,28.79,10
2018-09-06,0.391,22.4,21.52,7
2018-09-07,0.8270000000000001,25.72,22.4,8
2018-09-08,0.696,31.1,25.72,15
2018-09-09,0.5770000000000001,32.11,31.1,15
2018-09-10,0.543,34.97,32.11,14
2018-09-11,1.1800000000000002,34.14,34.97,15
2018-09-12,0.667,36.49,34.14,15
2018-09-13,0.408,37.33,36.49,16
2018-09-14,0.929,34.53,37.33,12
2018-09-15,1.1879999999999995,36.08,34.53,22
2018-09-16,0.657,36.56,36.08,16
2018-09-17,0.536,32.36,36.56,11
2018-09-18,0.777,32.11,32.36,13
2018-09-19,0.489,28.41,32.11,14
2018-09-20,0.731,30.48,28.41,11
2018-09-21,1.039,27.14,30.48,16
2018-09-22,0.386,31.13,27.14,7
2018-09-23,0.913,31.61,31.13,12
2018-09-24,0.81,24.49,31.61,11
2018-09-25,0.73,20.87,24.49,18
2018-09-26,0.845,27.7,20.87,10
2018-09-27,0.475,26.49,27.7,14
2018-09-28,0.359,13.53,26.49,22
2018-09-29,0.447,30.24,13.53,9
2018-09-30,0.585,15.34,30.24,10
2018-10-01,0.752,19.5,15.34,14
2018-10-02,0.513,25.98,19.5,19
2018-10-03,0.422,32.01,25.98,7
2018-10-04,0.426,18.91,32.01,11
2018-10-05,0.412,22.4,18.91,23
2018-10-06,0.346,12.65,22.4,19
2018-10-07,1.654,8.22,12.65,21
2018-10-08,2.343,5.252,8.22,13
2018-10-09,1.843,4.037,5.252,13
2018-10-10,3.072,2.698,4.037,23
2018-10-11,3.066,7.12,2.698,21
2018-10-12,1.62,18.76,7.12,20
2018-10-13,1.666,18.96,18.76,22
2018-10-14,1.7459999999999998,-1.0,18.96,18
2018-10-15,2.905,9.77,-1.0,22
2018-10-16,2.96,14.56,9.77,10
2018-10-17,2.977,18.99,14.56,10
2018-10-18,1.724,21.57,18.99,22
2018-10-19,0.329,20.08,21.57,7
2018-10-20,0.366,22.4,20.08,7
2018-10-21,0.505,23.74,22.4,10
2018-10-22,0.441,23.14,23.74,7
2018-10-23,1.6209999999999998,17.3,23.14,18
2018-10-24,1.003,17.27,17.3,20
2018-10-25,2.038,19.0,17.27,20
2018-10-26,1.4249999999999998,21.3,19.0,20
2018-10-27,1.6189999999999998,22.43,21.3,6
2018-10-28,0.956,26.36,22.43,20
2018-10-29,0.7989999999999999,27.0,26.36,22
2018-10-30,1.909,6.61,27.0,6
2018-10-31,1.7029999999999998,11.02,6.61,9
2018-11-01,1.862,13.03,11.02,9
2018-11-02,2.957,17.92,13.03,9
2018-11-03,2.6140000000000003,10.83,17.92,6
2018-11-04,2.8750000000000004,12.66,10.83,21
2018-11-05,1.723,12.48,12.66,19
2018-11-06,2.03,10.19,12.48,9
2018-11-07,2.098,6.418,10.19,21
2018-11-08,2.927,4.781,6.418,11
2018-11-09,2.7349999999999994,8.82,4.781,11
2018-11-10,2.627,13.92,8.82,9
2018-11-11,2.498,0.121,13.92,22
2018-11-12,3.317,1.108,0.121,20
2018-11-13,3.274,10.97,1.108,9
2018-11-14,2.67,17.32,10.97,5
2018-11-15,1.875,15.46,17.32,19
2018-11-16,1.783,13.55,15.46,9
2018-11-17,2.955,3.226,13.55,13
2018-11-18,3.005,10.05,3.226,20
2018-11-19,3.0140000000000007,10.32,10.05,0
2018-11-20,1.893,14.74,10.32,8
2018-11-21,1.697,17.39,14.74,20
2018-11-22,2.177,14.25,17.39,19
2018-11-23,1.809,12.15,14.25,7
2018-11-24,3.067,13.4,12.15,6
2018-11-25,1.961,6.432,13.4,20
2018-11-26,2.041,12.28,6.432,20
2018-11-27,1.815,12.29,12.28,20
2018-11-28,1.891,16.51,12.29,20
2018-11-29,1.888,9.15,16.51,21
2018-11-30,2.29,2.033,9.15,23
2018-12-01,3.38,8.19,2.033,11
2018-12-02,3.179,2.296,8.19,23
2018-12-03,3.175,0.989,2.296,2
2018-12-04,2.7299999999999995,4.44,0.989,1
2018-12-05,3.853,10.43,4.44,9
2018-12-06,1.83,-1.587,10.43,20
2018-12-07,3.075999999999999,6.196,-1.587,2
2018-12-08,1.796,9.3,6.196,18
2018-12-09,1.828,7.53,9.3,7
2018-12-10,1.7779999999999998,12.61,7.53,7
2018-12-11,1.894,14.81,12.61,20
2018-12-12,2.03,14.45,14.81,21
2018-12-13,1.7359999999999998,7.56,14.45,20
2018-12-14,1.695,13.43,7.56,23
2018-12-15,1.882,14.05,13.43,13
2018-12-16,1.7839999999999998,15.54,14.05,6
2018-12-17,1.826,14.39,15.54,7
2018-12-18,1.815,14.08,14.39,21
2018-12-19,1.838,10.05,14.08,9
2018-12-20,2.038,10.0,10.05,20
2018-12-21,1.6899999999999995,15.48,10.0,20
2018-12-22,1.6779999999999995,3.119,15.48,21
2018-12-23,1.777,11.1,3.119,22
2018-12-24,1.948,9.79,11.1,8
2018-12-25,2.186,7.19,9.79,18
2018-12-26,1.7439999999999998,3.873,7.19,8
2018-12-27,1.993,-1.572,3.873,8
2018-12-28,1.977,-5.246,-1.572,11
2018-12-29,1.7769999999999997,4.873,-5.246,7
2018-12-30,1.849,12.56,4.873,5
2018-12-31,3.129,0.606,12.56,19
2019-01-01,3.184,-8.84,0.606,9
2019-01-02,3.2270000000000003,6.179,-8.84,7
2019-01-03,1.912,12.74,6.179,17
2019-01-04,1.6869999999999998,16.32,12.74,10
2019-01-05,2.52,14.14,16.32,20
2019-01-06,1.902,13.27,14.14,6
2019-01-07,1.898,11.55,13.27,6
2019-01-08,2.33,6.523,11.55,16
2019-01-09,1.7479999999999998,9.54,6.523,18
2019-01-10,2.066,13.91,9.54,10
2019-01-11,2.315,6.353,13.91,20
2019-01-12,2.113,6.078,6.353,10
2019-01-13,2.628,6.736,6.078,11
2019-01-14,1.799,10.73,6.736,18
2019-01-15,1.85,11.15,10.73,16
2019-01-16,1.793,12.46,11.15,20
2019-01-17,1.711,14.71,12.46,8
2019-01-18,3.039,2.099,14.71,13
2019-01-19,3.147,9.35,2.099,23
2019-01-20,3.33,13.57,9.35,7
2019-01-21,1.719,14.95,13.57,7
2019-01-22,1.873,-0.028,14.95,20
2019-01-23,1.902,7.65,-0.028,20
2019-01-24,1.88,0.176,7.65,20
2019-01-25,3.227,5.592,0.176,19
2019-01-26,2.2540000000000004,8.26,5.592,17
2019-01-27,1.7679999999999998,12.08,8.26,21
2019-01-28,1.864,0.689,12.08,13
2019-01-29,3.112,2.258,0.689,21
2019-01-30,3.1859999999999995,10.45,2.258,20
2019-01-31,3.099,11.75,10.45,0
2019-02-01,1.7919999999999998,15.47,11.75,5
2019-02-02,1.7559999999999998,15.84,15.47,7
2019-02-03,2.042,18.46,15.84,9
2019-02-04,1.807,13.26,18.46,10
2019-02-05,1.7289999999999996,8.98,13.26,16
2019-02-06,1.7359999999999998,-3.195,8.98,6
2019-02-07,3.128,-6.913,-3.195,22
2019-02-08,3.213,0.48,-6.913,9
2019-02-09,3.133,5.414,0.48,22
2019-02-10,3.083,-0.099,5.414,21
2019-02-11,2.5009999999999994,3.171,-0.099,0
2019-02-12,1.738,10.08,3.171,19
2019-02-13,2.064,14.53,10.08,21
2019-02-14,1.738,14.0,14.53,19
2019-02-15,1.7359999999999998,16.5,14.0,7
2019-02-16,1.859,2.525,16.5,21
2019-02-17,3.236,1.444,2.525,8
2019-02-18,2.715,-7.7,1.444,7
2019-02-19,3.004,-6.144,-7.7,20
2019-02-20,3.141,4.002,-6.144,22
2019-02-21,3.165,1.694,4.002,10
2019-02-22,2.641,-1.845,1.694,22
2019-02-23,3.111,4.094,-1.845,23
2019-02-24,3.131,9.81,4.094,0
2019-02-25,1.7359999999999998,9.09,9.81,0
2019-02-26,2.076,10.92,9.09,6
2019-02-27,1.885,1.174,10.92,10
2019-02-28,1.848,13.39,1.174,12
2019-03-01,2.193,10.51,13.39,20
2019-03-02,3.13,-0.25,10.51,21
2019-03-03,3.298,-13.12,-0.25,22
2019-03-04,3.274,-4.669,-13.12,22
2019-03-05,3.35,1.707,-4.669,6
2019-03-06,1.948,5.394,1.707,7
2019-03-07,1.703,14.9,5.394,6
2019-03-08,2.2229999999999994,10.18,14.9,16
2019-03-09,1.6989999999999996,11.85,10.18,9
2019-03-10,3.104,9.97,11.85,21
2019-03-11,3.0819999999999994,13.83,9.97,5
2019-03-12,1.859,15.85,13.83,6
2019-03-13,1.6959999999999995,7.08,15.85,6
2019-03-14,1.759,3.221,7.08,6
2019-03-15,3.583,13.59,3.221,19
2019-03-16,3.204,10.22,13.59,0
2019-03-17,1.6760000000000002,11.75,10.22,7
2019-03-18,1.7109999999999996,10.48,11.75,5
2019-03-19,1.707,8.79,10.48,20
2019-03-20,1.851,15.76,8.79,11
2019-03-21,1.754,16.89,15.76,18
2019-03-22,1.6179999999999997,13.55,16.89,1
2019-03-23,1.735,10.66,13.55,19
2019-03-24,1.732,13.44,10.66,20
2019-03-25,1.741,16.5,13.44,6
2019-03-26,1.998,22.01,16.5,11
2019-03-27,1.5949999999999998,24.16,22.01,6
2019-03-28,2.2989999999999995,17.55,24.16,7
2019-03-29,2.685,6.908,17.55,7
2019-03-30,1.756,4.72,6.908,19
2019-03-31,1.777,11.24,4.72,21
2019-04-01,1.6609999999999998,14.84,11.24,9
2019-04-02,1.6869999999999998,12.48,14.84,6
2019-04-03,1.655,18.84,12.48,7
2019-04-04,1.651,21.17,18.84,23
2019-04-05,1.551,22.08,21.17,20
2019-04-06,1.1489999999999998,19.32,22.08,6
2019-04-07,0.939,25.53,19.32,20
2019-04-08,0.511,24.02,25.53,21
2019-04-09,0.448,26.17,24.02,17
2019-04-10,1.648,15.62,26.17,15
2019-04-11,1.66,6.007,15.62,16
2019-04-12,1.6219999999999997,7.11,6.007,1
2019-04-13,1.75,11.67,7.11,12
2019-04-14,1.719,19.45,11.67,9
2019-04-15,1.636,24.1,19.45,19
2019-04-16,1.3579999999999997,17.72,24.1,19
2019-04-17,0.826,19.84,17.72,20
2019-04-18,0.8739999999999999,21.01,19.84,16
2019-04-19,0.977,24.67,21.01,21
2019-04-20,0.497,28.02,24.67,20
2019-04-21,0.8210000000000001,20.16,28.02,5
2019-04-22,1.718,7.83,20.16,20
2019-04-23,0.481,19.83,7.83,7
2019-04-24,0.429,25.06,19.83,19
2019-04-25,1.017,19.76,25.06,20
2019-04-26,0.3279999999999999,25.13,19.76,20
2019-04-27,0.6299999999999999,22.88,25.13,13
2019-04-28,0.843,23.88,22.88,20
2019-04-29,1.6499999999999997,5.74,23.88,20
2019-04-30,1.762,3.592,5.74,11
2019-05-01,1.6919999999999995,7.76,3.592,21
2019-05-02,1.642,16.3,7.76,4
2019-05-03,1.033,20.98,16.3,5
2019-05-04,0.992,21.33,20.98,17
2019-05-05,0.4669999999999999,24.67,21.33,8
2019-05-06,0.425,20.61,24.67,15
2019-05-07,0.483,10.37,20.61,22
2019-05-08,1.668,8.23,10.37,20
2019-05-09,1.743,4.474,8.23,14
2019-05-10,1.7649999999999997,13.15,4.474,6
2019-05-11,1.7279999999999998,18.09,13.15,5
2019-05-12,0.511,25.48,18.09,10
2019-05-13,0.441,25.81,25.48,7
2019-05-14,0.289,28.63,25.81,7
2019-05-15,0.33,31.45,28.63,15
2019-05-16,0.321,26.35,31.45,6
2019-05-17,0.338,20.45,26.35,14
2019-05-18,0.428,16.71,20.45,9
2019-05-19,1.68,11.18,16.71,21
2019-05-20,1.628,6.179,11.18,14
2019-05-21,2.052,5.337,6.179,9
2019-05-22,1.668,8.85,5.337,21
2019-05-23,1.692,7.65,8.85,21
2019-05-24,1.674,23.85,7.65,0
2019-05-25,0.388,27.2,23.85,10
2019-05-26,0.514,21.93,27.2,13
2019-05-27,0.698,22.35,21.93,19
2019-05-28,1.1039999999999996,15.39,22.35,19
2019-05-29,1.7739999999999996,15.88,15.39,21
2019-05-30,0.33,20.87,15.88,6
2019-05-31,0.485,24.43,20.87,21
2019-06-01,0.736,24.5,24.43,19
2019-06-02,0.313,25.98,24.5,6
2019-06-03,0.4660000000000001,26.18,25.98,19
2019-06-04,0.353,26.8,26.18,10
2019-06-05,0.315,25.91,26.8,4
2019-06-06,0.659,28.98,25.91,15
2019-06-07,0.36,28.64,28.98,21
2019-06-08,0.345,27.09,28.64,6
2019-06-09,0.287,19.54,27.09,7
