,Etot,Tamb,TambForecast,EtotPeakHour
2016-05-21,0.5710000000000001,30.73,29.65,21
2016-05-22,1.303,22.86,30.73,20
2016-05-23,1.231,19.27,22.86,9
2016-05-24,0.54,22.67,19.27,13
2016-05-25,0.737,22.89,22.67,9
2016-05-26,1.947,18.46,22.89,22
2016-05-27,1.823,15.98,18.46,0
2016-05-28,1.6609999999999998,22.29,15.98,20
2016-05-29,0.591,26.02,22.29,22
2016-05-30,0.477,27.06,26.02,7
2016-05-31,1.6840000000000002,19.36,27.06,23
2016-06-01,1.601,23.82,19.36,0
2016-06-02,0.571,28.95,23.82,16
2016-06-03,0.5630000000000001,27.73,28.95,5
2016-06-04,0.596,26.85,27.73,14
2016-06-05,1.014,29.75,26.85,20
2016-06-06,0.995,29.41,29.75,14
2016-06-07,0.5449999999999999,25.79,29.41,15
2016-06-08,0.5519999999999999,28.32,25.79,20
2016-06-09,0.5690000000000001,32.54,28.32,22
2016-06-10,1.185,34.67,32.54,14
2016-06-11,0.56,34.58,34.67,12
2016-06-12,0.655,30.92,34.58,0
2016-06-13,0.664,23.77,30.92,15
2016-06-14,0.628,29.05,23.77,17
2016-06-15,0.537,34.21,29.05,20
2016-06-16,0.623,34.13,34.21,21
2016-06-17,0.687,31.87,34.13,18
2016-06-18,0.562,35.73,31.87,19
2016-06-19,0.817,37.36,35.73,15
2016-06-20,0.771,23.1,37.36,18
2016-06-21,0.938,38.79,23.1,15
2016-06-22,0.707,26.58,38.79,16
2016-06-23,1.004,32.42,26.58,16
2016-06-24,1.075,32.37,32.42,12
2016-06-25,0.633,29.76,32.37,13
2016-06-26,0.7230000000000001,34.73,29.76,13
2016-06-27,0.478,33.6,34.73,20
2016-06-28,0.6570000000000001,34.16,33.6,7
2016-06-29,0.6880000000000001,31.85,34.16,17
2016-06-30,0.506,24.73,31.85,19
2016-07-01,1.3809999999999998,26.23,24.73,12
2016-07-02,0.4189999999999999,25.22,26.23,8
2016-07-03,0.6940000000000002,30.41,25.22,13
2016-07-04,0.566,35.57,30.41,9
2016-07-05,0.6410000000000001,30.68,35.57,17
2016-07-06,0.45,36.66,30.68,8
2016-07-07,0.499,32.49,36.66,16
2016-07-08,0.738,31.59,32.49,9
2016-07-09,0.939,39.27,31.59,21
2016-07-10,0.5910000000000001,37.77,39.27,17
2016-07-11,0.7550000000000001,34.62,37.77,16
2016-07-12,0.969,33.79,34.62,5
2016-07-13,0.614,35.23,33.79,17
2016-07-14,0.503,29.79,35.23,7
2016-07-15,0.611,31.36,29.79,13
2016-07-16,0.687,34.82,31.36,21
2016-07-17,0.714,31.89,34.82,8
2016-07-18,0.84,32.85,31.89,14
2016-07-19,1.082,34.17,32.85,20
2016-07-20,0.8,33.18,34.17,9
2016-07-21,1.132,34.74,33.18,12
2016-07-22,1.455,38.37,34.74,10
2016-07-23,0.657,36.32,38.37,9
2016-07-24,0.633,32.87,36.32,6
2016-07-25,0.7110000000000001,31.87,32.87,6
2016-07-26,0.598,33.53,31.87,15
2016-07-27,0.95,36.29,33.53,2
2016-07-28,0.6549999999999999,29.53,36.29,7
2016-07-29,0.493,33.0,29.53,21
2016-07-30,0.5990000000000001,34.1,33.0,22
2016-07-31,0.591,32.19,34.1,10
2016-08-01,0.401,34.3,32.19,17
2016-08-02,0.484,34.59,34.3,19
2016-08-03,0.539,35.89,34.59,7
2016-08-04,0.476,22.57,35.89,15
