,units,n_back,dropout,vloss,sec_elaps
556,672,624,0.2,0.015394455753266811,149
9,24,24,0.0,0.0153940469026565,31
370,240,24,0.2,0.01539348904043436,24
593,432,48,0.0,0.015391946770250797,23
257,576,144,0.2,0.015391573309898376,83
596,672,432,0.1,0.015386708080768585,111
518,192,144,0.1,0.015385881066322327,40
456,120,336,0.2,0.015385632403194904,38
492,864,72,0.2,0.015385622158646584,91
356,528,24,0.1,0.01537585910409689,31
464,144,624,0.0,0.01537260040640831,72
196,336,96,0.1,0.015371638350188732,49
529,384,576,0.2,0.015371418558061123,167
532,120,576,0.2,0.015365884639322758,54
528,528,336,0.2,0.015364459715783596,77
352,48,432,0.1,0.015363835729658604,35
435,72,864,0.0,0.015350625850260258,63
355,48,72,0.0,0.015346704982221127,23
10,240,96,0.0,0.0153461620211601,36
279,672,864,0.0,0.015345609746873379,194
375,624,24,0.2,0.015343048609793186,45
121,384,72,0.1,0.0153424283489584,47
216,864,864,0.2,0.015336536802351475,383
426,624,240,0.0,0.01533416099846363,69
75,432,144,0.1,0.0153247937560081,54
383,528,672,0.1,0.015315365046262741,193
22,864,336,0.1,0.0153146730735898,175
110,288,24,0.2,0.0153126595541834,31
240,480,144,0.1,0.015308794565498829,58
225,768,432,0.1,0.015306174755096436,182
5,384,24,0.2,0.0152962608262896,35
562,432,192,0.2,0.015294814482331276,82
416,72,528,0.0,0.01529238186776638,45
26,576,672,0.0,0.0152917532250285,261
102,144,432,0.2,0.0152901606634259,54
156,624,432,0.0,0.015288789756596088,149
347,72,384,0.1,0.015287496149539948,36
340,12,96,0.0,0.01528687123209238,54
174,720,72,0.2,0.015284375287592411,55
397,720,720,0.1,0.015283828601241112,348
494,240,24,0.0,0.01528333779424429,32
79,864,336,0.0,0.0152787417173385,175
548,480,120,0.1,0.015277871862053871,71
376,624,120,0.2,0.015277114696800709,63
172,528,48,0.1,0.015272548422217369,60
149,624,240,0.1,0.015271194279193878,68
392,144,480,0.2,0.015269661322236061,56
248,384,192,0.2,0.015267949551343918,60
425,480,528,0.2,0.015267438255250454,100
111,192,720,0.2,0.0152668021619319,87
298,288,864,0.1,0.015265011228621006,106
514,432,336,0.1,0.015260953456163406,120
246,576,864,0.2,0.01525714062154293,249
292,864,12,0.0,0.015255809761583805,58
600,528,768,0.1,0.015250533819198608,216
595,432,96,0.0,0.015249359421432018,45
294,768,720,0.2,0.015249356627464294,189
107,624,48,0.1,0.015247537754476,55
84,576,240,0.0,0.0152456564828753,62
350,12,672,0.2,0.015245255082845688,102
69,240,864,0.2,0.0152439717203378,149
118,192,120,0.0,0.0152436392381787,38
315,384,12,0.0,0.015243085101246834,50
186,528,120,0.0,0.01523915771394968,56
470,96,12,0.1,0.015236911363899708,34
135,192,240,0.1,0.015236462466418743,37
93,624,624,0.1,0.015232584439218,201
81,336,72,0.0,0.0152292056009173,45
585,672,24,0.1,0.01522460114210844,38
605,864,72,0.0,0.015222792513668537,120
63,720,192,0.2,0.0152209866791963,94
293,288,768,0.2,0.015220260247588158,141
547,96,96,0.1,0.015217425301671028,26
141,576,864,0.0,0.015212600119411945,254
116,144,72,0.0,0.0152076026424765,31
590,864,768,0.1,0.015206990763545036,460
391,720,720,0.2,0.015205763280391693,346
227,120,48,0.2,0.015202070586383343,22
58,288,48,0.0,0.0152017604559659,33
21,288,864,0.0,0.0152012705802917,106
132,24,96,0.0,0.015199707821011543,26
484,384,12,0.1,0.015198782086372375,23
14,576,576,0.2,0.0151986358687281,120
171,624,432,0.2,0.015197088941931725,196
144,624,864,0.2,0.015194698236882687,269
123,12,120,0.2,0.0151860574260354,49
527,120,672,0.1,0.015183640643954277,60
204,768,288,0.0,0.015179382637143135,132
599,12,720,0.1,0.0151769258081913,148
414,192,864,0.0,0.01517671812325716,141
495,624,144,0.1,0.0151741374284029,92
244,240,624,0.0,0.015173712745308876,111
427,576,12,0.2,0.01517321728169918,38
145,672,432,0.2,0.015172665007412434,160
108,48,48,0.2,0.0151696866378188,23
477,480,672,0.1,0.01516819093376398,235
448,120,672,0.2,0.015159009955823421,61
269,528,72,0.0,0.0151550667360425,71
197,144,48,0.2,0.015152332372963428,36
560,12,864,0.1,0.015152127481997013,140
505,432,528,0.1,0.015150636434555054,89
2,12,864,0.2,0.0151502806693315,125
328,72,96,0.1,0.015149598941206932,26
598,120,192,0.2,0.01514694094657898,39
167,480,144,0.0,0.015146523714065552,94
139,12,96,0.1,0.015145053155720234,43
285,768,528,0.2,0.015143660828471184,215
267,720,864,0.1,0.015141370706260204,208
65,48,768,0.2,0.0151365036144852,77
57,672,96,0.1,0.015136320143938,60
517,24,48,0.1,0.01512856688350439,40
201,96,144,0.2,0.015127967111766338,48
106,120,120,0.1,0.0151234492659568,50
445,192,24,0.2,0.015120762400329113,38
11,12,120,0.1,0.0151205556467175,48
409,528,192,0.0,0.015117902308702469,97
249,768,672,0.2,0.01511656679213047,446
549,336,240,0.0,0.015116165392100811,44
384,48,12,0.1,0.015113613568246365,33
480,288,384,0.1,0.015109430067241192,84
7,120,624,0.1,0.0151027012616395,85
551,624,72,0.0,0.015100156888365746,95
256,384,624,0.2,0.015096561051905155,176
241,12,120,0.0,0.015095178037881851,59
568,384,48,0.0,0.015087247826159,49
481,96,864,0.1,0.01508417259901762,66
138,480,480,0.1,0.01508073415607214,138
306,72,120,0.2,0.015079687349498272,28
80,720,48,0.1,0.0150739140808582,48
6,288,336,0.1,0.015073349699378,55
535,384,24,0.1,0.01506900880485773,32
483,192,120,0.1,0.015068401582539082,37
97,384,384,0.2,0.0150678716599941,96
439,24,576,0.0,0.015067615546286106,57
253,72,576,0.1,0.015058656223118305,87
143,72,480,0.1,0.015058556571602821,43
395,72,72,0.1,0.015057569369673729,31
92,864,576,0.1,0.0150574324652552,269
604,480,432,0.2,0.015055578202009201,138
62,144,144,0.1,0.0150525402277708,57
531,24,240,0.1,0.01504517812281847,42
32,528,720,0.1,0.015042227692902,273
182,432,72,0.1,0.015041066333651543,60
485,624,672,0.2,0.015040779486298561,215
37,336,672,0.0,0.0150398639962077,179
515,48,432,0.0,0.015035534277558327,69
114,336,432,0.1,0.0150352539494633,131
308,288,384,0.0,0.015034201554954052,133
187,144,144,0.0,0.015029551461338997,48
411,240,384,0.0,0.015028637833893299,79
226,576,480,0.1,0.015028451569378376,246
337,120,96,0.1,0.015027639456093311,28
56,528,864,0.1,0.0150246964767575,318
496,72,120,0.1,0.015023048967123032,29
417,120,144,0.1,0.015022740699350834,33
224,528,480,0.0,0.015020257793366909,146
373,384,576,0.0,0.015019753947854042,127
99,624,12,0.2,0.015015578828752,40
338,432,528,0.0,0.015013156458735466,170
402,288,768,0.0,0.015011420473456383,141
236,672,336,0.1,0.015007860958576202,131
191,624,192,0.1,0.015006395988166332,82
367,864,240,0.1,0.015006239525973797,153
272,384,720,0.0,0.015005837194621563,200
210,48,24,0.2,0.015001836232841015,21
430,384,720,0.2,0.015001565217971802,105
386,120,672,0.0,0.01500076986849308,86
431,336,336,0.2,0.015000415965914726,106
434,288,720,0.2,0.01499884482473135,92
60,864,48,0.2,0.0149926766753196,96
602,96,72,0.1,0.014992483891546726,27
29,768,624,0.0,0.0149906640872359,246
162,624,72,0.1,0.014980164356529713,63
290,12,624,0.1,0.01497755479067564,149
369,864,48,0.1,0.014977363869547844,95
582,480,336,0.0,0.014976931735873222,104
438,96,480,0.2,0.014974880963563919,61
124,120,24,0.2,0.0149739738553762,23
100,288,528,0.2,0.0149683486670255,105
131,624,480,0.0,0.014965937472879887,124
450,432,480,0.1,0.014965779148042202,121
104,192,624,0.0,0.0149650247767567,149
289,528,384,0.1,0.014962797984480858,83
449,672,672,0.2,0.014958643354475498,232
559,240,48,0.0,0.014952544122934341,52
282,288,120,0.1,0.014950236305594444,63
205,240,720,0.0,0.01494862325489521,85
208,384,240,0.1,0.014947892166674137,45
59,336,624,0.2,0.014947198331356,129
103,72,864,0.2,0.0149457398802042,117
320,120,720,0.0,0.014933989383280277,63
126,48,864,0.1,0.01492999214679,84
567,24,336,0.1,0.01492969412356615,51
273,864,240,0.2,0.014928199350833893,250
188,48,864,0.2,0.014928166754543781,104
489,576,240,0.2,0.014924097806215286,122
260,288,864,0.2,0.014922563917934895,202
307,192,864,0.2,0.014921450987458229,230
441,624,672,0.1,0.014920821413397789,284
371,144,336,0.0,0.014920107088983059,46
534,720,72,0.0,0.014919253997504711,106
55,336,576,0.0,0.0149162029847502,198
159,768,576,0.1,0.014913959428668022,304
563,384,72,0.0,0.014913838356733322,36
211,432,120,0.1,0.014913697727024555,62
372,240,288,0.1,0.014910772442817688,44
474,336,432,0.0,0.014907277189195156,96
433,432,720,0.0,0.014903887175023556,274
67,144,528,0.2,0.0149033013731241,95
245,432,24,0.1,0.014901039190590382,51
436,288,192,0.1,0.014900662004947662,35
364,768,336,0.1,0.014900203794240952,150
51,288,72,0.2,0.0149001441895961,43
546,768,432,0.2,0.014896800741553307,183
263,384,768,0.1,0.014892833307385445,209
19,576,624,0.1,0.0148921161890029,127
190,144,720,0.0,0.014890884049236774,149
314,12,576,0.1,0.014890694059431553,136
326,336,720,0.0,0.014890024438500404,230
251,720,336,0.1,0.01488793920725584,144
539,720,288,0.2,0.014882126823067665,204
185,576,768,0.2,0.014877929352223873,364
322,120,528,0.1,0.01487690582871437,51
522,480,288,0.0,0.014874538406729698,93
95,576,432,0.2,0.0148740764707326,139
396,480,576,0.2,0.014873700216412544,308
288,720,480,0.0,0.014872371219098568,186
499,240,480,0.1,0.014867540448904037,92
475,384,576,0.1,0.01486657839268446,167
574,432,336,0.0,0.014864925295114517,121
281,480,672,0.0,0.014863993041217327,177
479,48,672,0.0,0.014861764386296272,91
557,48,576,0.2,0.014860887080430984,80
541,384,288,0.2,0.014857197180390358,78
544,720,384,0.2,0.014853942207992077,156
363,288,432,0.2,0.014851941727101803,61
25,480,864,0.0,0.0148518690839409,289
264,288,480,0.1,0.014851187355816364,156
390,336,120,0.2,0.014849008060991764,42
540,24,384,0.2,0.014846180565655231,59
453,720,48,0.0,0.014844875782728195,47
280,48,192,0.0,0.014840851537883282,39
217,480,480,0.0,0.014839227311313152,178
50,192,624,0.1,0.014838358387351,114
500,336,624,0.0,0.014836716465651989,127
283,144,24,0.0,0.01483512856066227,45
