,timestamp_forecast_update,predicted_activepower_ev_1,persist,power
2019-09-13 00:00:00,,0.5212621,0.53230405684679,0.492086288884899
2019-09-13 00:15:00,,0.5334294,0.518295542631613,0.49470958009249
2019-09-13 00:30:00,,0.5362963,0.532064690222013,0.486937123119337
2019-09-13 00:45:00,,0.53639907,0.515139243183966,0.498700879394013
2019-09-13 01:00:00,,0.5359666,0.522850466834502,0.486603123177787
2019-09-13 01:15:00,,0.5358404,0.511707393784539,0.477021499854571
2019-09-13 01:30:00,,0.536218,0.499780812538358,0.490156047556025
2019-09-13 01:45:00,,0.53704154,0.507171952911575,0.473323842168328
2019-09-13 02:00:00,,0.5381351,0.493608771951798,0.486489006531091
2019-09-13 02:15:00,,0.5393518,0.522115666963092,0.493888496902846
2019-09-13 02:30:00,,0.5405619,0.515910226382377,0.489127606069336
2019-09-13 02:45:00,,0.5416542,0.519216825803722,0.49350718030291
2019-09-13 03:00:00,,0.5426058,0.537262564312385,0.492453688820604
2019-09-13 03:15:00,,0.5433801,0.552541669971874,0.50012455414487
2019-09-13 03:30:00,,0.5439835,0.556918460872603,0.481374632426106
2019-09-13 03:45:00,,0.54439634,0.542422863409332,0.479704632718356
2019-09-13 04:00:00,,0.54465103,0.518152200990031,0.479337232782651
2019-09-13 04:15:00,,0.5447789,0.478223899644151,0.473794225419344
2019-09-13 04:30:00,,0.5447941,0.465452576879132,0.453613670617608
2019-09-13 04:45:00,,0.5447003,0.469091784575604,0.456459628452898
2019-09-13 05:00:00,,0.544538,0.487407506370353,0.46246327740226
2019-09-13 05:15:00,,0.5443091,0.496566063100939,0.459155286314492
2019-09-13 05:30:00,,0.54401004,0.51241575199391,0.472714292274999
2019-09-13 05:45:00,,0.5436794,0.500479429082767,0.492431422157834
2019-09-13 06:00:00,,0.54332936,0.489369756026959,0.483169882111937
2019-09-13 06:15:00,,0.5429469,0.518353992621385,0.482791348844847
2019-09-13 06:30:00,,0.54254925,0.493599030286836,0.496996088025685
2019-09-13 06:45:00,,0.54213864,0.502398537080256,0.513136635201089
2019-09-13 07:00:00,,0.541724,0.501652603877461,0.502470903734259
2019-09-13 07:15:00,,0.54131204,0.507819077798328,0.497771246223365
2019-09-13 07:30:00,,0.5408987,0.516540651272053,0.490740547453738
2019-09-13 07:45:00,,0.5404919,0.519695559053277,0.48655998151867
2019-09-13 08:00:00,,0.54006773,0.517272667810616,0.48533114006705
2019-09-13 08:15:00,,0.5396671,0.509586494155697,0.499235279300493
2019-09-13 08:30:00,,0.5392535,0.524050083291235,0.5187881925454
2019-09-13 08:45:00,,0.5388637,0.516277626318082,0.505897186467992
2019-09-13 09:00:00,,0.53847367,0.513023910220816,0.512805418592385
2019-09-13 09:15:00,,0.53809047,0.518221784311188,0.499119770987373
2019-09-13 09:30:00,,0.5377178,0.519155592481105,0.5045737116996
2019-09-13 09:45:00,,0.5373544,0.532991540059814,0.511728268780886
2019-09-13 10:00:00,,0.53700846,0.504374703401094,0.520824200522432
2019-09-13 10:15:00,,0.53666955,0.512085927051629,0.51584899305976
2019-09-13 10:30:00,,0.53634274,0.513153335198166,0.502397145413833
2019-09-13 10:45:00,,0.53602,0.513072618545625,0.490220064211489
2019-09-13 11:00:00,,0.5356994,0.510894660593434,0.500930329003859
2019-09-13 11:15:00,,0.5353949,0.508694435978474,0.530753740451429
2019-09-13 11:30:00,,0.5351009,0.516919184539143,0.533865506573536
2019-09-13 11:45:00,,0.5348159,0.517827942713443,0.533989364885194
2019-09-13 12:00:00,,0.5345479,0.496137429842616,0.50927615254334
2019-09-13 12:15:00,,0.5342633,0.475512933451903,0.499263112628955
2019-09-13 12:30:00,,0.5339947,0.477967833022296,0.493555888627719
2019-09-13 12:45:00,,0.5337433,0.462420135743143,0.471365767510991
2019-09-13 13:00:00,,0.5334911,0.475345933481128,0.482741248853615
2019-09-13 13:15:00,,0.5332458,0.556282469317235,0.493134213701513
2019-09-13 13:30:00,,0.5330008,0.50849681934639,0.519542475746733
2019-09-13 13:45:00,,0.5327584,0.516903876208488,0.528163849237993
2019-09-13 14:00:00,,0.53253144,0.519912659015285,0.524090441617506
2019-09-13 14:15:00,,0.53229606,0.522819850173193,0.538491405764004
2019-09-13 14:30:00,,0.5320609,0.517957367690794,0.533346414997711
2019-09-13 14:45:00,,0.53184503,0.523094008458548,0.530998673741899
2019-09-13 15:00:00,,0.5316184,0.516397309630471,0.527772790973095
2019-09-13 15:15:00,,0.5313889,0.497943812859833,0.545906204466414
2019-09-13 15:30:00,,0.53117263,0.501432720582607,0.544161054771815
2019-09-13 15:45:00,,0.53094083,0.509323469201726,0.540798788693545
2019-09-13 16:00:00,,0.53071374,0.519555000744542,0.541302571938717
2019-09-13 16:15:00,,0.53047925,0.525852291309182,0.531534465314802
2019-09-13 16:30:00,,0.5302419,0.522886650161503,0.539057813998216
2019-09-13 16:45:00,,0.53000075,0.514955543216113,0.554331352992013
2019-09-13 17:00:00,,0.52975607,0.509233010884223,0.553430944816251
2019-09-13 17:15:00,,0.5295022,0.498162304488263,0.535610656268135
2019-09-13 17:30:00,,0.5292446,0.493468213643063,0.532285965183289
2019-09-13 17:45:00,,0.5289777,0.507767586140672,0.547079379261109
2019-09-13 18:00:00,,0.52870667,0.550266295370065,0.549889153769398
2019-09-13 18:15:00,,0.5284241,0.499065495996872,0.544358671403899
2019-09-13 18:30:00,,0.5281334,0.511245360532062,0.548554545669621
2019-09-13 18:45:00,,0.52782077,0.514977809878883,0.545840796144527
2019-09-13 19:00:00,,0.5275127,0.518682425897242,0.540968571997167
